session,ground_frustration_100,velocity_frustration_100,combined_frustration_100,off_ground_ratio,avg_off_ground_duration,event_frequency,num_events,rapid_change_ratio,avg_rapid_change_magnitude,rapid_change_frequency,speed_std,total_time,total_records,track,difficulty
telemetry_20251116_001313,20.089668949455312,18.31735873156654,19.203513840510926,0.031075454453132933,0.8499833333333342,2.193673324262088,6,0.00030466131816796996,16.0371,2.193673324262088,6.091208601626207,164.1083,19694,sandtrack,2
telemetry_20251115_192307,16.896650534835064,20.37711926971501,18.636884902275035,0.07522573363431151,0.6171222222222225,7.3141841670938925,18,0.000564334085778781,17.82767,4.063435648385496,8.127750904163953,147.6583,17720,snowtuxpeak,2
telemetry_20251113_213720,21.451786969784102,15.528280279627435,18.49003362470577,0.03859788886675961,0.8972222222222234,2.581261950286807,9,0.0003186616211909978,13.591800000000001,2.294455066921606,4.800491369342212,209.2,25105,ravenbridge_mansion,1
telemetry_20251115_222444,18.50222003850078,16.665387497036875,17.58380376776883,0.03875458564575299,0.7629444444444471,3.0478340623677154,9,0.00018812905653278148,14.595824999999998,1.3545929166078734,4.625951715512388,177.175,21262,ravenbridge_mansion,2
telemetry_20251116_100525,20.320074965790145,14.689206780818223,17.504640873304183,0.019246482069904675,0.8832999999999984,1.307367560942394,4,0.00013617793917385383,12.866733333333334,0.9805256707067956,4.220372536360563,183.575,22030,volcano_island,2
telemetry_20251113_211211,12.085631070309667,21.4364057589814,16.761018414645534,0.019972714870395633,0.5083499999999953,2.357563850687623,6,0.00016371077762619373,18.7788,1.1787819253438114,3.6513138483912577,152.7,18325,snowtuxpeak,1
telemetry_20251113_211506,19.84927447860675,11.987058665975976,15.918166572291362,0.04182318088525733,0.8181909090909104,3.0671525160177393,11,0.00030980133989079504,10.488575,2.2306563752856285,5.009188800500852,215.1833,25823,ravenbridge_mansion,1
telemetry_20251115_235240,16.088494620213034,15.724198502903777,15.906346561558404,0.042031602708803614,0.6465499999999927,3.900853311661926,12,0.00040632054176072233,13.758544444444446,2.9256399837464446,5.693825085681004,184.575,22150,ravenbridge_mansion,2
telemetry_20251115_222117,16.24103258830492,13.4556660200946,14.84834930419976,0.015306813563913849,0.7062500000000025,1.300460579788675,4,0.00027091705422856366,11.777949999999999,1.9506908696830125,4.272777778874643,184.55,22147,volcano_island,2
telemetry_20251116_001930,15.213740042221314,13.810244339156919,14.511992190689115,0.033658821941232056,0.6233299999999986,3.2400329835357726,10,0.0004049858254961076,12.081122222222222,2.9160296851821954,6.572707149591355,185.1833,22223,ravenbridge_mansion,2
telemetry_20251115_235600,22.636730670638826,0.0,11.318365335319413,0.010859769286229271,1.0041999999999973,0.6489117209679599,2,0.0,0.0,0.0,4.1715374862269945,184.925,22192,volcano_island,2
